timestamp_utc,timestamp_local,bidding_zone,price_eur_mwh,load_actual_mw
2021-11-08T09:30:00+00:00,2021-11-08T10:30:00+01:00,BE,221.28,
2021-11-08T09:30:00+00:00,2021-11-08T10:30:00+01:00,CH,214.16,
2021-11-08T09:30:00+00:00,2021-11-08T10:30:00+01:00,DE-LU,190.17,71988.74
2021-11-08T09:30:00+00:00,2021-11-08T10:30:00+01:00,FR,225.69,65153
2021-11-08T09:30:00+00:00,2021-11-08T10:30:00+01:00,NL,197.13,14094.11
2021-11-08T09:45:00+00:00,2021-11-08T10:45:00+01:00,AT,217.99,
2021-11-08T09:45:00+00:00,2021-11-08T10:45:00+01:00,BE,221.28,
2021-11-08T09:45:00+00:00,2021-11-08T10:45:00+01:00,CH,214.16,
2021-11-08T09:45:00+00:00,2021-11-08T10:45:00+01:00,DE-LU,190.17,71934.76
2021-11-08T09:45:00+00:00,2021-11-08T10:45:00+01:00,FR,225.69,65153
2021-11-08T09:45:00+00:00,2021-11-08T10:45:00+01:00,NL,197.13,13967.68
2021-11-08T10:00:00+00:00,2021-11-08T11:00:00+01:00,AT,219.9,
2021-11-08T10:00:00+00:00,2021-11-08T11:00:00+01:00,BE,214.04,
2021-11-08T10:00:00+00:00,2021-11-08T11:00:00+01:00,CH,212.01,
2021-11-08T10:00:00+00:00,2021-11-08T11:00:00+01:00,DE-LU,188.59,72251.46
2021-11-08T10:00:00+00:00,2021-11-08T11:00:00+01:00,FR,223.13,64266
2021-11-08T10:00:00+00:00,2021-11-08T11:00:00+01:00,NL,188.59,13907.21
2021-11-08T10:15:00+00:00,2021-11-08T11:15:00+01:00,AT,219.9,
2021-11-08T10:15:00+00:00,2021-11-08T11:15:00+01:00,BE,214.04,
2021-11-08T10:15:00+00:00,2021-11-08T11:15:00+01:00,CH,212.01,
2021-11-08T10:15:00+00:00,2021-11-08T11:15:00+01:00,DE-LU,188.59,72026.54
2021-11-08T10:15:00+00:00,2021-11-08T11:15:00+01:00,FR,223.13,64266
2021-11-08T10:15:00+00:00,2021-11-08T11:15:00+01:00,NL,188.59,13782.95
2021-11-08T10:30:00+00:00,2021-11-08T11:30:00+01:00,AT,219.9,
2021-11-08T10:30:00+00:00,2021-11-08T11:30:00+01:00,BE,214.04,
2021-11-08T10:30:00+00:00,2021-11-08T11:30:00+01:00,CH,212.01,
2021-11-08T10:30:00+00:00,2021-11-08T11:30:00+01:00,DE-LU,188.59,72018.67
2021-11-08T10:30:00+00:00,2021-11-08T11:30:00+01:00,FR,223.13,64266
2021-11-08T10:30:00+00:00,2021-11-08T11:30:00+01:00,NL,188.59,13633.08
2021-11-08T10:45:00+00:00,2021-11-08T11:45:00+01:00,AT,219.9,
2021-11-08T10:45:00+00:00,2021-11-08T11:45:00+01:00,BE,214.04,
2021-11-08T10:45:00+00:00,2021-11-08T11:45:00+01:00,CH,212.01,
2021-11-08T10:45:00+00:00,2021-11-08T11:45:00+01:00,DE-LU,188.59,72108.49
2021-11-08T10:45:00+00:00,2021-11-08T11:45:00+01:00,FR,223.13,64266
2021-11-08T10:45:00+00:00,2021-11-08T11:45:00+01:00,NL,188.59,13484.43
2021-11-08T11:00:00+00:00,2021-11-08T12:00:00+01:00,AT,216.5,
2021-11-08T11:00:00+00:00,2021-11-08T12:00:00+01:00,BE,205.9,
2021-11-08T11:00:00+00:00,2021-11-08T12:00:00+01:00,CH,210.06,
2021-11-08T11:00:00+00:00,2021-11-08T12:00:00+01:00,DE-LU,202.33,71464.43
2021-11-08T11:00:00+00:00,2021-11-08T12:00:00+01:00,FR,213.43,64356
2021-11-08T11:00:00+00:00,2021-11-08T12:00:00+01:00,NL,195.87,13394.12
2021-11-08T11:15:00+00:00,2021-11-08T12:15:00+01:00,AT,216.5,
2021-11-08T11:15:00+00:00,2021-11-08T12:15:00+01:00,BE,205.9,
2021-11-08T11:15:00+00:00,2021-11-08T12:15:00+01:00,CH,210.06,
2021-11-08T11:15:00+00:00,2021-11-08T12:15:00+01:00,DE-LU,202.33,71204.16
2021-11-08T11:15:00+00:00,2021-11-08T12:15:00+01:00,FR,213.43,64356
2021-11-08T11:15:00+00:00,2021-11-08T12:15:00+01:00,NL,195.87,13294.05
2021-11-08T11:30:00+00:00,2021-11-08T12:30:00+01:00,AT,216.5,
2021-11-08T11:30:00+00:00,2021-11-08T12:30:00+01:00,BE,205.9,
2021-11-08T11:30:00+00:00,2021-11-08T12:30:00+01:00,CH,210.06,
2021-11-08T11:30:00+00:00,2021-11-08T12:30:00+01:00,DE-LU,202.33,71242.18
2021-11-08T11:30:00+00:00,2021-11-08T12:30:00+01:00,FR,213.43,64356
2021-11-08T11:30:00+00:00,2021-11-08T12:30:00+01:00,NL,195.87,13263.91
2021-11-08T11:45:00+00:00,2021-11-08T12:45:00+01:00,AT,216.5,
2021-11-08T11:45:00+00:00,2021-11-08T12:45:00+01:00,BE,205.9,
2021-11-08T11:45:00+00:00,2021-11-08T12:45:00+01:00,CH,210.06,
